source_class,source_file_name,source_relative_path,assigned_categories,image_width,image_height,is_healthy_class,leaf_area_ratio,leaf_component_count,largest_leaf_component_ratio,leaf_bbox_fill_ratio,disease_ratio,largest_disease_component_ratio,disease_component_count,background_color_std,background_edge_density,background_entropy,background_complexity_score,simple_background_score,border_touch_ratio,convexity_defect_score,bbox_fill_ratio,occlusion_score,healthy_score,small_disease_score,large_disease_score,multiple_leaves_score
Pepper__bell___Bacterial_spot,0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot 8964.JPG,Pepper__bell___Bacterial_spot/0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot 8964.JPG,,256,256,False,0.43243408203125,1,0.43243408203125,0.5317831182317163,0.09086097388849683,0.04629498941425547,3,50.428104400634766,0.1730562426067319,6.718281423709885,0.6399497386670694,0.3600502613329306,0.35,0.1405924571839554,0.5317831182317163,0.3003507363680411,0.49046507134972805,0.9356504351917194,0.07749117854622442,1.1081085205078125
Pepper__bell___Bacterial_spot,006adb74-934f-448f-a14f-62181742127b___JR_B.Spot 3395.JPG,Pepper__bell___Bacterial_spot/006adb74-934f-448f-a14f-62181742127b___JR_B.Spot 3395.JPG,,256,256,False,0.5100555419921875,1,0.5100555419921875,0.5575728896858604,0.12217668351931074,0.07143925569150686,8,56.11177062988281,0.2473138372418948,6.998476338576381,0.7925017343116979,0.2074982656883021,0.35,0.1748104827315059,0.5575728896858604,0.307169091018855,0.4982002011036788,0.8637219413448207,0.10695545517096956,1.1275138854980469
Pepper__bell___Bacterial_spot,00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot 3132.JPG,Pepper__bell___Bacterial_spot/00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot 3132.JPG,,256,256,False,0.4996795654296875,1,0.4996795654296875,0.5735312306740878,0.09142822243258925,0.0243686444559807,12,48.18050003051758,0.19158864253255664,6.849441732269315,0.6634970948246608,0.3365029051753392,0.35,0.0969186895736246,0.5735312306740878,0.27671529521595106,0.5263963709036903,1.376196292790179,0.07131034903960667,1.1249198913574219
Pepper__bell___Bacterial_spot,01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot 3262.JPG,Pepper__bell___Bacterial_spot/01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot 3262.JPG,complex_backgrounds,256,256,False,0.570220947265625,1,0.570220947265625,0.6256594967532467,0.05362590313085363,0.015707786994915707,5,53.96113967895508,0.3465525811261805,7.678513923216982,0.9254345312455228,0.07456546875447723,0.35,0.05732630130703964,0.6256594967532467,0.25243230610681455,0.522564803895653,1.643765052180894,0.04225046829007225,1.1425552368164062
Pepper__bell___Bacterial_spot,0169b9ac-07b9-4be1-8b85-da94481f05a4___NREC_B.Spot 9169.JPG,Pepper__bell___Bacterial_spot/0169b9ac-07b9-4be1-8b85-da94481f05a4___NREC_B.Spot 9169.JPG,,256,256,False,0.4926910400390625,1,0.4926910400390625,0.6119035597071446,0.30270370714484807,0.23967914769735824,7,56.42084884643555,0.16190934520407857,6.84944490405048,0.6851595232753541,0.3148404767246459,0.35,0.069526708347044,0.6119035597071446,0.2594536359800365,0.5073845825748087,-2.1450617857474676,0.2837963393106011,1.1231727600097656
Pepper__bell___Bacterial_spot,018e494e-d2eb-468b-9d02-40219d9f4921___JR_B.Spot 9045.JPG,Pepper__bell___Bacterial_spot/018e494e-d2eb-468b-9d02-40219d9f4921___JR_B.Spot 9045.JPG,,256,256,False,0.5867462158203125,1,0.5867462158203125,0.6437142857142857,0.04069903518581125,0.010402309312667413,7,29.81934928894043,0.15958350256618542,6.047218754094873,0.39970172574097407,0.6002982742590259,0.35,0.07438555789168422,0.6437142857142857,0.2547920881192323,0.6409541198809362,1.5783172530968541,0.0316100174238681,1.1466865539550781
Pepper__bell___Bacterial_spot,01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot 9120.JPG,Pepper__bell___Bacterial_spot/01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot 9120.JPG,,256,256,False,0.491973876953125,1,0.491973876953125,0.6151999252615844,0.2481545809813287,0.22393151789591217,5,57.44369125366211,0.15200937105784826,6.547349145043475,0.6383821653107684,0.3616178346892316,0.35,0.04928896267956395,0.6151999252615844,0.2517111518855305,0.5226963347840158,-1.3859096830221453,0.24088766205570372,1.1229934692382812
Pepper__bell___Bacterial_spot,01dfb88b-cd5a-420c-b163-51f5fe07b74d___JR_B.Spot 9091.JPG,Pepper__bell___Bacterial_spot/01dfb88b-cd5a-420c-b163-51f5fe07b74d___JR_B.Spot 9091.JPG,,256,256,False,0.514434814453125,1,0.514434814453125,0.6071739445814595,0.13715370469241264,0.06451325858693718,4,37.36152267456055,0.08352711960279052,5.991351063346419,0.3611529080570822,0.6388470919429178,0.35,0.13787287731901687,0.6071739445814595,0.284320718145364,0.5973432005686135,0.31410492179312255,0.11536157086077,1.1286087036132812
Pepper__bell___Bacterial_spot,01ebc916-4793-40a3-b5e4-a32687e4fa3d___NREC_B.Spot 9125.JPG,Pepper__bell___Bacterial_spot/01ebc916-4793-40a3-b5e4-a32687e4fa3d___NREC_B.Spot 9125.JPG,,256,256,False,0.46697998046875,1,0.46697998046875,0.5804201050262565,0.3415239837929682,0.11469089007972814,12,53.80983352661133,0.20622924539104545,6.8706389063387565,0.7173185607377695,0.28268143926223055,0.35,0.10274846341180566,0.5804201050262565,0.2773779411888807,0.47762990694065094,-2.7920663965494703,0.2734740556789962,1.1167449951171875
Pepper__bell___Bacterial_spot,024623ab-be81-4d99-a653-c3be1495ce8e___JR_B.Spot 8889.JPG,Pepper__bell___Bacterial_spot/024623ab-be81-4d99-a653-c3be1495ce8e___JR_B.Spot 8889.JPG,,256,256,False,0.517059326171875,1,0.517059326171875,0.5451317148760331,0.08310216608628933,0.01927049518975388,9,52.93315124511719,0.15456556082148498,6.321926355578284,0.5802808342471254,0.4197191657528746,0.35,0.0842609037541181,0.5451317148760331,0.2779649733387347,0.544593242038298,1.5149638985618443,0.06395266481732868,1.1292648315429688
