Id,Target
grazing_015front,0
sitting_047sit_front_043sit_side,2
sitting_052_sit_side,2
standing_001stand_side,3
walking_027_walk_side,4
running_027_run_side,1
standing_VID_20210815_135520,3
running_015_run_side,1
walking_009_walk_side,4
running_021run_front,1
sitting_048_sit_side,2
grazing_53side,0
running_025_run_side,1
grazing_30side,0
grazing_sitting9,0
sitting_030sit_front,2
standing_VID_20210815_135725,3
running_030run_front,1
sitting_044sit_front,2
grazing_022front,0
running_008run_front,1
grazing_44side,0
grazing_018front,0
sitting_023sit_front,2
walking_023_walk_side,4
standing_035_stand_front,3
walking_034_walk_side,4
standing_026stand_front,3
grazing_001side,0
standing_VID_20210815_134723,3
sitting_040sit_side,2
walking_021walk_front,4
sitting_022sit_front,2
grazing_48side,0
grazing_015side,0
running_014run_front,1
standing_003stand_side,3
sitting_008sit_front,2
grazing_029front,0
sitting_035sit_front,2
sitting_050sit_front,2
walking_029_walk_side,4
standing_standing_to_sitting_transition_from_front,3
standing_VID_20210815_135457,3
grazing_50front,0
sitting_014sit_front,2
walking_006_walk_side,4
standing_006stand_side,3
running_014_run_side,1
running_028_run_side,1
grazing_009side,0
standing_007stand_side,3
running_003run_front,1
sitting_027sit_side,2
standing_012stand_front,3
sitting_047sit_side,2
grazing_43front,0
standing_007stand_front,3
running_002run_side,1
standing_006stand_front,3
walking_016_walk_side,4
standing_VID_20210815_132453,3
sitting_020sit_front,2
running_009_run_side,1
grazing_013front,0
sitting_007sit_front,2
sitting_011sit_front,2
running_035run_front,1
sitting_017sit_side,2
walking_011walk_front,4
grazing_50side,0
running_039_run_side,1
standing_029stand_front,3
sitting_045-046sit_front,2
running_010_run_side,1
grazing_38front,0
sitting_031sit_side,2
grazing_012side,0
walking_002walk_side,4
walking_019_walk_side,4
grazing_45front,0
sitting_019sit_side,2
grazing_025front,0
running_006_run_side,1
grazing_013side,0
walking_010walk_front,4
standing_001stand_front,3
standing_013stand_side,3
grazing_48front,0
sitting_032sit_side,2
grazing_031front,0
running_001run_front,1
grazing_019front,0
standing_037_stand_side,3
standing_005stand_front,3
grazing_41front,0
grazing_030front,0
grazing_sitting10,0
grazing_33front,0
sitting_049_sit_side,2
running_016run_front,1
sitting_002sit_side,2
sitting_015sit_front,2
walking_014_walk_side,4
walking_001walk_front,4
sitting_002sit_front,2
sitting_034sit_front,2
walking_032_walk_side,4
grazing_28side,0
grazing_sitting3,0
sitting_001sit_side,2
standing_032stand_front,3
sitting_044sit_side,2
standing_VID_20210815_135400,3
grazing_024front,0
sitting_042sit_front,2
sitting_006sit_side,2
sitting_036sit_front,2
grazing_34front,0
sitting_037sit_side,2
running_034_run_side,1
sitting_024sit_side,2
standing_032_stand_side,3
sitting_045sit_side,2
sitting_011sit_side,2
walking_030_walk_side,4
sitting_035sit_side,2
walking_018_walk_side,4
sitting_051_sit_side,2
sitting_040sit_front,2
standing_IMG_5440,3
standing_standing_to_sitting_animation,3
standing_VID_20210815_130318,3
grazing_012front,0
grazing_020front,0
running_017_run_side,1
sitting_050_sit_side,2
grazing_41side,0
standing_034_stand_side,3
standing_014stand_side,3
sitting_018sit_side,2
standing_022stand_front,3
standing_008stand_side,3
standing_VID_20210815_134907,3
sitting_039sit_side,2
standing_025stand_side,3
sitting_020sit_side,2
running_029_run_side,1
standing_VID_20210815_133021,3
grazing_38side,0
sitting_041sit_front,2
running_001run_side,1
standing_sheep_watering_5,3
standing_035_stand_side,3
grazing_016front,0
sitting_000000041sit_side,2
grazing_45side,0
standing_023stand_front,3
sitting_010sit_front,2
walking_025_walk_side,4
running_004run_front,1
grazing_016side,0
sitting_IMG_5320,2
running_036_run_side,1
sitting_009sit_front,2
grazing_sitting6,0
grazing_sitting2,0
standing_023stand_side,3
sitting_003sit_side,2
sitting_029sit_front,2
sitting_007sit_side,2
sitting_013sit_side,2
walking_015walk_front,4
running_038_run_side,1
grazing_44front,0
standing_036_stand_side,3
grazing_002side,0
running_007_run_side,1
sitting_014sit_side,2
sitting_003sit_front,2
standing_030stand_front,3
standing_stand_to_sit_transition_2,3
standing_031_stand_side,3
running_032_run_side,1
walking_021_walk_side,4
walking_029walk_front,4
standing_VID_20210815_133425,3
walking_026_walk_side,4
grazing_014front,0
walking_005_walk_side,4
standing_sheep_watering_2,3
grazing_sitting8,0
standing_025stand_front,3
walking_012_walk_side,4
standing_018stand_side,3
running_012_run_side,1
grazing_42side,0
grazing_55side,0
walking_014walk_front,4
grazing_36side,0
standing_IMG_5456,3
sitting_053_sit_side,2
grazing_35front,0
standing_031stand_front,3
sitting_027sit_front,2
standing_005stand_side,3
standing_011stand_side,3
standing_013stand_front,3
standing_004stand_front,3
walking_031_walk_side,4
standing_028_Stand_side,3
standing_040_stand_side,3
sitting_013sit_front,2
sitting_004sit_side,2
grazing_39front,0
running_012run_front,1
standing_020stand_front,3
grazing_42front,0
sitting_009sit_side,2
sitting_033sit_front,2
standing_sheep_watering_3,3
sitting_037sit_front,2
walking_010_walk_side,4
standing_022stand_side,3
running_029run_front,1
sitting_030sit_side,2
grazing_29side,0
sitting_023sit_side,2
running_030_run_side,1
running_016_run_side,1
grazing_47front,0
sitting_043sit_front,2
standing_002stand_side,3
running_019_run_side,1
running_018_run_side,1
walking_028_walk_side,4
sitting_001sit_front,2
sitting_010sit_side,2
sitting_012sit_side,2
grazing_VID_20210814_174038,0
sitting_051_sit_front,2
standing_036_Stand_front,3
running_041_run_side,1
standing_003stand_front,3
grazing_002front,0
sitting_024sit_front,2
running_005_run_side,1
standing_034_stand_front,3
walking_033_walk_side,4
standing_040_stand_front,3
sitting_016sit_side,2
sitting_054_sit_side,2
standing_VID_20210815_133000,3
running_022run_front,1
walking_022_walk_side,4
sitting_048-049sit_front,2
standing_VID_20210815_135603,3
standing_wateringg,3
grazing_standing1,0
running_008_run_side,1
walking_036walk_front,4
grazing_004front,0
walking_024_walk_side,4
walking_011_walk_side,4
running_011_run_side,1
standing_042_stand_side,3
grazing_33side,0
sitting_VID_20210813_115955,2
standing_010stand_front,3
standing_039_stand_side,3
standing_021stand_side,3
standing_028stand_front,3
running_034run_front,1
running_035_run_side,1
grazing_46side,0
walking_008_walk_side,4
sitting_017sit_front,2
sitting_021sit_side,2
sitting_036sit_side,2
running_004run_side,1
standing_037_stand_front,3
standing_024stand_front,3
grazing_49side,0
running_033_run_side,1
running_033run_front,1
running_022_run_side,1
walking_002walk_front,4
walking_015_walk_side,4
grazing_46front,0
standing_004stand_side,3
standing_IMG_5441,3
sitting_004sit_front,2
sitting_006sit_front,2
grazing_40front,0
walking_033walk_front,4
standing_019stand_side,3
grazing_40side,0
standing_VID_20210815_131600,3
standing_VID_20210815_133041,3
grazing_001front,0
sitting_0000045sit_side,2
sitting_046sit_side,2
walking_017_walk_side,4
standing_VID_20210815_134556,3
standing_019stand_front,3
walking_005walk_front,4
grazing_sitting,0
running_023_run_side,1
grazing_52side,0
sitting_016side_front,2
sitting_028sit_front,2
standing_029_stand_side,3
grazing_018side,0
running_019run_front,1
sitting_028sit_side,2
standing_016stand_front,3
walking_013_walk_side,4
grazing_24side,0
standing_018stand_front,3
sitting_042sit_side,2
standing_026_stand_side,3
standing_standing_rotating,3
walking_008walk_front,4
grazing_43side,0
standing_020stand_side,3
running_IMG_54830,1
grazing_014side,0
grazing_017front,0
sitting_025sit_side,2
sitting_018sit_front,2
grazing_021front,0
sitting_039sit_front,2
standing_017stand_front,3
sitting_025sit_front,2
standing_017stand_side,3
standing_002stand_front,3
running_040_run_side,1
standing_027stand_front,3
standing_030_stand_side,3
grazing_027front,0
grazing_017side,0
standing_VID_20210815_133919,3
running_013_run_side,1
running_024_run_side,1
grazing_028front,0
walking_007_walk_side,4
sitting_041sit_side,2
standing_008stand_front,3
standing_VID_20210815_133715,3
grazing_32side,0
walking_003walk_side,4
running_037_run_side,1
sitting_015sit_side,2
grazing_021side,0
walking_031walk_front,4
sitting_019sit_front,2
running_003run_side,1
grazing_sitting7,0
standing_011stand_front,3
