image_id,best_train,visible_code_matches
02z4azk140h4d642ljha,4ifwgc2jk6v3ixl43zo9,10
04kdxq8ddhrbsu4rc320,6jexia132yhdv7adwr9f,7
05phhfjfef2xwb0whru2,9d6mtki02ajyf9uwmbj0,7
05x60eu5h5pvxrsv7b34,1e8qhbfirydqrvenmjq6,10
06u2k7eci6jji0jpp52g,8c3b1xx60gsqzizwy1kh,4
075bjvvrcntj0hp6r82m,3zcrfp7079peg6io7euc,10
077axgmfzssa4l1flfpk,1f6k0at5nfmhbj1a7gdo,4
07qii7yg6cj8g6hv3wms,7zyjg5vxwfkbgcibpq2c,13
0817d5iv7m0b1smi33sp,62gwr2gn43g28qyh2ip3,17
09xbslmpdtfjtfw0ta51,6lflr13f71yyxdayhs8m,16
0acqk36bnh1vbz8ltisp,1kc2jx4g0iki46ag5rmm,6
0axlt1106p2e4ipavi8r,0mmejcjev0o0x4ygkpb9,7
0fmarvdpajghxcoruz2k,3dr5rgj1xaf02idg7q0n,5
0fnu6wajf1t7l72b9w0x,2ox4r291tdcdwk93fb4m,6
0g6iid7vi6sp9ul4ibbn,9kehh0148ixu3bdv4rpg,7
0i7t527wj5ppa1hbp1vu,1mhpiuty87118ek4rwlf,6
0jhj1e6mu2anjqxj3559,5o6xna24zaopbckxo9dr,10
0lsopi4mp68xpkfnjqfg,1cvob2838n0nhtq2lfdi,18
0n7ku7bzqwzuc23vq6h8,3vnf1dk257im2mtovtry,14
0qpuxv3v5dgu1cglzb4v,9ku3u2yhwj9dwg5au159,10
0qwi8gpx7qscehjaiskg,8mjtrp7pfohszta3w3pu,5
0wpmef041oswna95smq7,3up3sem701trdm80kexk,8
0wq173gumurg033s23bl,96s8fkkv75drhniujy8w,12
0xo9jpenn1158n5acgxg,94cfa583qc2brdm7rm8b,7
0xunyycu8i6fgt29vw2r,58lsjf1nppuwj2uyp9ls,9
0yzbldr5ex0n9wt471ph,8rkcoez4e1g6e5l8gqk9,6
105lbrgbk0sinx7pn6m7,3hrlixeprzs70ok8ckzf,13
105vr6zj3egrh6kxp6lv,41ic8zwji3ga83tzzhyf,7
10b2i23c8h2sdk1bmtuz,6ug94c9md89hsdkfnq1u,5
10cem2kokhpq5mntvxco,1ouw7l2w24p2pp2zcipf,20
11hhhhend9qy4ff7skpf,53fuyz57njgruby5kxef,9
11zr3cxjdal1nfot3gck,73ob3wr3flt9ok6z6f7s,8
12cnmq7j99gtrlwtlnie,0jtft5h2galo4w7ja09k,10
13bb03iqkd7it9v0p7cr,5cmwk199fdc74ydoh2lc,4
15g25g8hyze89cmd1mer,3lp6bvogkiw0b778ri7y,11
18vds3slhsz776z5266y,7iq2xnmqd6s6tk6e2a8i,8
18yqlefo3pafkfwj8hz8,2b69ggjszrn69msacl8s,4
190e0oiv7wbicky0o36n,2ais2k1y93ajjvjm0ba4,5
1a0y54jo0pjo3dpjevah,3dnncm6yckbyi686fcg3,7
1al8zp9vpiw8gj0rken8,0h7npi3rtlb744cv1ywt,7
1axuxgdje2aultq4lhnp,1nlnssbt00ve9m0v3hiw,12
1cjt1ak7y8hxyc7ehb88,3n4g9kkp9xtloir4xypy,8
1e6asxsstgoj8bmilepz,2txor638umvtfh0x7bei,11
1f1exqfn5agf2ryibij7,1lau3noxv2ble8lixtq5,4
1fik9ggu3z5w8u49do04,1mhpiuty87118ek4rwlf,6
1h2jk3rmzygu8ajln5lg,62gwr2gn43g28qyh2ip3,20
1ieqn0omor6gi72iow0b,3e7zlmpohfenl2z7v3w1,10
