Id,Target
00308vghv33apmz9s2wr_0,709
00308vghv33apmz9s2wr_1,139
00308vghv33apmz9s2wr_2,140
00308vghv33apmz9s2wr_3,524
00308vghv33apmz9s2wr_4,136
00308vghv33apmz9s2wr_5,139
00308vghv33apmz9s2wr_6,86
00308vghv33apmz9s2wr_7,808
00308vghv33apmz9s2wr_8,709
00308vghv33apmz9s2wr_9,709
00308vghv33apmz9s2wr_10,709
00308vghv33apmz9s2wr_11,524
00308vghv33apmz9s2wr_12,804
00308vghv33apmz9s2wr_13,808
00308vghv33apmz9s2wr_14,264
00308vghv33apmz9s2wr_15,808
00308vghv33apmz9s2wr_16,709
00308vghv33apmz9s2wr_17,709
00308vghv33apmz9s2wr_18,709
00308vghv33apmz9s2wr_19,524
00308vghv33apmz9s2wr_20,139
00308vghv33apmz9s2wr_21,232
00308vghv33apmz9s2wr_22,140
00308vghv33apmz9s2wr_23,140
00308vghv33apmz9s2wr_24,139
00308vghv33apmz9s2wr_25,709
00308vghv33apmz9s2wr_26,709
00308vghv33apmz9s2wr_27,139
00308vghv33apmz9s2wr_28,139
00308vghv33apmz9s2wr_29,139
00308vghv33apmz9s2wr_30,139
00308vghv33apmz9s2wr_31,140
00308vghv33apmz9s2wr_32,709
00308vghv33apmz9s2wr_33,709
00308vghv33apmz9s2wr_34,709
00308vghv33apmz9s2wr_35,709
00308vghv33apmz9s2wr_36,808
00308vghv33apmz9s2wr_37,524
00308vghv33apmz9s2wr_38,221
00308vghv33apmz9s2wr_39,264
00308vghv33apmz9s2wr_40,709
00308vghv33apmz9s2wr_41,709
00308vghv33apmz9s2wr_42,709
00308vghv33apmz9s2wr_43,709
00308vghv33apmz9s2wr_44,709
00308vghv33apmz9s2wr_45,221
00308vghv33apmz9s2wr_46,524
00308vghv33apmz9s2wr_47,139
00308vghv33apmz9s2wr_48,232
00308vghv33apmz9s2wr_49,709
00308vghv33apmz9s2wr_50,808
00308vghv33apmz9s2wr_51,709
00308vghv33apmz9s2wr_52,709
00308vghv33apmz9s2wr_53,139
00308vghv33apmz9s2wr_54,221
00308vghv33apmz9s2wr_55,221
00308vghv33apmz9s2wr_56,482
00308vghv33apmz9s2wr_57,482
00308vghv33apmz9s2wr_58,709
00308vghv33apmz9s2wr_59,709
00308vghv33apmz9s2wr_60,709
00308vghv33apmz9s2wr_61,139
00308vghv33apmz9s2wr_62,524
00308vghv33apmz9s2wr_63,221
005pbzx0w05ck59rnww5_0,608
005pbzx0w05ck59rnww5_1,608
005pbzx0w05ck59rnww5_2,608
005pbzx0w05ck59rnww5_3,608
005pbzx0w05ck59rnww5_4,471
005pbzx0w05ck59rnww5_5,471
005pbzx0w05ck59rnww5_6,471
005pbzx0w05ck59rnww5_7,471
005pbzx0w05ck59rnww5_8,608
005pbzx0w05ck59rnww5_9,471
005pbzx0w05ck59rnww5_10,608
005pbzx0w05ck59rnww5_11,499
